Month,TPM Company,TPM Field Monitor,Sub-office,Zone,Woreda,TPM Assigned to Woreda,TPM Available This Month,Reassignment Possible,Remarks
May 2025,JarCo,Abdi Monitor,Jijiga,Fafan,Awbare,Yes,Yes,Yes,Large woreda; can split FDPs with WFP
May 2025,JarCo,Amina Monitor,Jijiga,Fafan,Babile,Yes,Yes,No,Routine assignment
May 2025,JarCo,,Jijiga,Siti,Ayisha,No,No,Yes,No standing TPM; JarCo can reassign if informed early
May 2025,JarCo,Hassan Monitor,Gode,Shabelle,Kelafo,Yes,Yes,Yes,Can cover prioritized relief sites
May 2025,JarCo,,Dollo Ado,Dollo,Dollo Ado,No,No,Yes,WFP likely to cover unless reassigned
May 2025,JarCo,Muna Monitor,Jijiga,Erer,Fik,Yes,Yes,Yes,Nutrition monitoring support
May 2025,JarCo,,Jijiga,Erer,Duhun,No,No,Yes,TPM reassignment needed if prioritized
May 2025,JarCo,Ahmed Monitor,Jijiga,Fafan,Harorays,Yes,Yes,No,Routine nutrition
May 2025,JarCo,,Gode,Shabelle,Rhamu,No,No,Yes,No dedicated TPM this month
May 2025,JarCo,Camp Monitor A,Jijiga,Fafan,Aw-Bare Camp,Yes,Yes,No,Refugee operation
May 2025,JarCo,Camp Monitor B,Jijiga,Fafan,Kebribeyah Camp,Yes,Yes,No,Refugee operation
May 2025,JarCo,Camp Monitor C,Jijiga,Fafan,Sheder Camp,Yes,Yes,No,Refugee operation
